iter	Logloss
0	0.6873141129
1	0.6806910403
2	0.67430063
3	0.6679903452
4	0.661644693
5	0.6558630228
6	0.6515186109
7	0.6459221599
8	0.640201066
9	0.6344116328
10	0.6291440954
11	0.6241718731
12	0.6193203806
13	0.6143727906
14	0.609386891
15	0.6053348118
16	0.6008715366
17	0.596527966
18	0.5926893686
19	0.5887851627
20	0.5846530036
21	0.5806400015
22	0.5765817955
23	0.5727616022
24	0.5690737922
25	0.5654592883
26	0.5620943815
27	0.5587057096
28	0.5554087229
29	0.5520494646
30	0.5489179992
31	0.5455783914
32	0.542664769
33	0.5396777948
34	0.5372092713
35	0.5344815327
36	0.5320326291
37	0.5297008451
38	0.5270794874
39	0.5244653041
40	0.5220172529
41	0.5196025145
42	0.5177564659
43	0.5153841678
44	0.513422899
45	0.5115402648
46	0.5094389572
47	0.5075097332
48	0.505622845
49	0.5037671458
50	0.5017757005
51	0.4999054836
52	0.4981323153
53	0.496184126
54	0.4943365862
55	0.4925149166
56	0.4906853957
57	0.4892725091
58	0.4878079971
59	0.4862980315
60	0.4849500092
61	0.4834955215
62	0.4820579507
63	0.4805432668
64	0.4793126728
65	0.4781164927
66	0.4767423476
67	0.4753578327
68	0.4741136577
69	0.4728285046
70	0.4716157418
71	0.4703123186
72	0.4693622358
73	0.4682425238
74	0.467166192
75	0.4660664211
76	0.4649634312
77	0.4637356283
78	0.4627346938
79	0.4617519862
80	0.4607197618
81	0.4597550217
82	0.4588467523
83	0.4579018914
84	0.4570902793
85	0.456213187
86	0.4552425529
87	0.4546772009
88	0.4537836887
89	0.4529409544
90	0.4521129665
91	0.4512580517
92	0.4504519953
93	0.4497443288
94	0.449015053
95	0.4483582569
96	0.4476187207
97	0.4469658421
98	0.4464378542
99	0.4457459239
100	0.4450369427
101	0.4446445043
102	0.4438056854
103	0.4431350792
104	0.4424734981
105	0.4418593413
106	0.4412350324
107	0.4407031534
108	0.4401570363
109	0.4396496134
110	0.4391038025
111	0.4386493103
112	0.4380923974
113	0.4375921612
114	0.437049326
115	0.4364769968
116	0.4360268084
117	0.435553135
118	0.4351311894
119	0.4346535852
120	0.4341736394
121	0.4336284257
122	0.4331551268
123	0.4326936231
124	0.4323074105
125	0.4321507848
126	0.4318041155
127	0.4313297276
128	0.431115729
129	0.4308289947
130	0.4303888181
131	0.4299880178
132	0.4295921648
133	0.4292556527
134	0.4288763643
135	0.4284892129
136	0.4281831183
137	0.4278195655
138	0.4274369341
139	0.427072117
140	0.426772914
141	0.4263767598
142	0.4260579622
143	0.4256808065
144	0.4253108338
145	0.4250306267
146	0.4247198698
147	0.4244856675
148	0.4241208106
149	0.4237574276
150	0.4234382064
151	0.4230736148
152	0.4228031104
153	0.4225199209
154	0.4222364598
155	0.4220518666
156	0.4217579381
157	0.4214842875
158	0.4211993265
159	0.4208843516
160	0.4207165819
161	0.4205080465
162	0.4203130359
163	0.4200110784
164	0.4197985218
165	0.4195280761
166	0.4192581998
167	0.4189555784
168	0.4187299875
169	0.4184518026
170	0.4182300402
171	0.4180279765
172	0.4177824947
173	0.4175873618
174	0.4173478364
175	0.4170853096
176	0.4168509966
177	0.4166571918
178	0.4163879422
179	0.4161349272
180	0.4159887622
181	0.4158271397
182	0.4156481296
183	0.4155569717
184	0.4153517486
185	0.4150983123
186	0.4148858771
187	0.4146703445
188	0.4144896138
189	0.4143775487
190	0.4142702937
191	0.4142199429
192	0.4140166561
193	0.4138488942
194	0.4136125727
195	0.4134842539
196	0.4133133304
197	0.4131298394
198	0.4129682417
199	0.4127777628
200	0.41259027
201	0.4125164283
202	0.4123526673
203	0.4121488232
204	0.4119759977
205	0.4118661265
206	0.4116978976
207	0.4116122267
208	0.411428147
209	0.4112773978
210	0.4111024269
211	0.410959295
212	0.4108163273
213	0.4106414297
214	0.4105061493
215	0.410316113
216	0.4101323544
217	0.4100038015
218	0.4098426194
219	0.4096994364
220	0.4095705988
221	0.4094232708
222	0.4093234377
223	0.4092416518
224	0.40909971
225	0.4089920356
226	0.4088825804
227	0.4087305142
228	0.4086770064
229	0.4085808906
230	0.4085190789
231	0.4084414831
232	0.4082956194
233	0.4081461012
234	0.4080461131
235	0.4078973816
236	0.4076960928
237	0.4075049646
238	0.4074038979
239	0.4073323393
240	0.4072458783
241	0.4070554504
242	0.4069536067
243	0.4068994081
244	0.4068265457
245	0.4067322798
246	0.4066400327
247	0.4065142815
248	0.4064099668
